  PID %CPU %MEM   TIME     ELAPSED  SIZE   RSS   DRS  TRS    SZ    VSZ COMMAND
30242  7.0  0.2   0:00       00:01 122376 2084 124528 731 31315 125260 deepthings
30242 55.5  1.3   0:01       00:02 173720 12644 175872 731 44151 176604 deepthings
30242 71.6  2.4   0:02       00:03 205964 23468 208116 731 52212 208848 deepthings
30242 80.0  3.5   0:03       00:04 205964 34028 208116 731 52212 208848 deepthings
30242 85.0  4.6   0:04       00:05 228624 44588 230776 731 57877 231508 deepthings
30242 88.3  5.7   0:05       00:06 228624 55148 230776 731 57877 231508 deepthings
30242 90.7  6.8   0:06       00:07 251416 65708 253568 731 63575 254300 deepthings
30242 92.6  7.9   0:07       00:08 251416 76268 253568 731 63575 254300 deepthings
30242 94.0  9.0   0:08       00:09 289732 86828 291884 731 73154 292616 deepthings
30242 95.1 10.1   0:09       00:10 289732 97388 291884 731 73154 292616 deepthings
30242 96.0 11.2   0:10       00:11 289732 107948 291884 731 73154 292616 deepthings
30242 96.7 12.3   0:11       00:12 328048 118508 330200 731 82733 330932 deepthings
30242 97.3 13.4   0:12       00:13 328048 129068 330200 731 82733 330932 deepthings
30242 97.9 14.5   0:13       00:14 328048 139628 330200 731 82733 330932 deepthings
30242 98.4 15.6   0:14       00:15 328048 150188 330200 731 82733 330932 deepthings
30242 98.8 16.7   0:15       00:16 381272 160748 383424 731 96039 384156 deepthings
30242 99.1 17.8   0:16       00:17 381272 171308 383424 731 96039 384156 deepthings
30242 99.5 18.9   0:17       00:18 381272 181868 383424 731 96039 384156 deepthings
30242 99.7 20.0   0:18       00:19 381272 192428 383424 731 96039 384156 deepthings
30242 99.9 20.9   0:19       00:20 390560 201140 392712 731 98361 393444 deepthings
30242 92.4 21.1   0:20       00:22 531336 203252 533488 731 133555 534220 deepthings
30242 92.9 22.2   0:21       00:23 564052 214076 566204 731 141734 566936 deepthings
30242 93.4 23.3   0:22       00:24 596296 224688 598448 731 149795 599180 deepthings
30242 93.9 24.4   0:23       00:25 596296 235248 598448 731 149795 599180 deepthings
30242 94.3 25.5   0:24       00:26 619088 245808 621240 731 155493 621972 deepthings
30242 94.7 26.6   0:25       00:27 619088 256368 621240 731 155493 621972 deepthings
30242 95.1 27.8   0:26       00:28 641748 267192 643900 731 161158 644632 deepthings
30242 95.4 28.9   0:27       00:29 641748 277752 643900 731 161158 644632 deepthings
30242 95.8 30.0   0:28       00:30 680064 288312 682216 731 170737 682948 deepthings
30242 96.0 31.1   0:29       00:31 680064 298872 682216 731 170737 682948 deepthings
30242 96.3 32.2   0:30       00:32 680064 309432 682216 731 170737 682948 deepthings
30242 96.6 33.3   0:31       00:33 718512 319992 720664 731 180349 721396 deepthings
30242 96.8 34.4   0:32       00:34 718512 330552 720664 731 180349 721396 deepthings
30242 97.1 35.5   0:34       00:35 718512 341112 720664 731 180349 721396 deepthings
30242 97.3 36.6   0:35       00:36 718512 351672 720664 731 180349 721396 deepthings
30242 97.5 37.7   0:36       00:37 771604 362496 773756 731 193622 774488 deepthings
30242 97.7 38.8   0:37       00:38 771604 373056 773756 731 193622 774488 deepthings
30242 97.9 39.9   0:38       00:39 771604 383616 773756 731 193622 774488 deepthings
30242 98.1 41.0   0:39       00:40 771604 394176 773756 731 193622 774488 deepthings
30242 95.9 42.5   0:40       00:42 807956 408956 811900 731 203158 812632 deepthings
30242 96.1 44.7   0:41       00:43 809440 430008 813220 731 203488 813952 deepthings
30242 96.4 44.8   0:42       00:44 809172 431124 812504 731 203309 813236 deepthings
30242 96.6 45.5   0:43       00:45 815032 437616 818416 731 204787 819148 deepthings
30242 96.8 45.1   0:44       00:46 811324 433920 814708 731 203860 815440 deepthings
30242 96.9 45.2   0:45       00:47 812052 434672 815436 731 204042 816168 deepthings
30242 97.1 45.3   0:46       00:48 812812 435320 816196 731 204232 816928 deepthings
30242 97.3 44.9   0:47       00:49 809168 431740 812552 731 203321 813284 deepthings
30242 98.0 47.0   0:49       00:50 826044 451764 828652 731 207346 829384 deepthings
30242  100 47.8   0:51       00:51 831664 460056 834272 731 208751 835004 deepthings
30242  102 48.4   0:53       00:52 827904 465052 830512 731 207811 831244 deepthings
30242  104 48.9   0:55       00:53 827708 470588 830316 731 207762 831048 deepthings
30242  106 49.0   0:57       00:54 827448 470828 830056 731 207697 830788 deepthings
30242  108 49.4   0:59       00:55 827492 474604 830036 731 207692 830768 deepthings
30242  110 49.9   1:01       00:56 828140 479680 830684 731 207854 831416 deepthings
30242  111 49.9   1:03       00:57 827976 479872 830520 731 207813 831252 deepthings
30242  113 51.0   1:05       00:58 834244 490332 836788 731 209380 837520 deepthings
30242  113 51.3   1:08       01:00 836680 493080 839224 731 209989 839956 deepthings
30242  114 51.5   1:10       01:01 836468 494984 839012 731 209936 839744 deepthings
30242  116 51.6   1:12       01:02 836156 496116 838700 731 209858 839432 deepthings
30242  118 51.6   1:14       01:03 836036 496120 838580 731 209828 839312 deepthings
30242  119 51.8   1:16       01:04 837088 497612 839632 731 210091 840364 deepthings
30242  120 51.6   1:18       01:05 834788 496420 837332 731 209516 838064 deepthings
30242  122 51.7   1:20       01:06 835772 497180 838316 731 209762 839048 deepthings
30242  123 53.4   1:22       01:07 845180 513476 847724 731 212114 848456 deepthings
30242  124 53.4   1:24       01:08 845292 513588 847836 731 212142 848568 deepthings
30242  126 53.2   1:27       01:09 843072 511508 845616 731 211587 846348 deepthings
30242  127 55.8   1:29       01:10 865652 535984 868576 731 217327 869308 deepthings
30242  128 55.6   1:31       01:11 863568 534132 866204 731 216734 866936 deepthings
30242  129 55.1   1:33       01:12 859812 530048 862448 731 215795 863180 deepthings
30242  130 55.4   1:35       01:13 862308 532664 864944 731 216419 865676 deepthings
30242  131 55.3   1:37       01:14 861092 531588 863728 731 216115 864460 deepthings
30242  132 55.0   1:39       01:15 858416 528948 861052 731 215446 861784 deepthings
30242  131 55.0   1:40       01:16 858160 528684 860796 731 215382 861528 deepthings
